name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,engine,seats
Maruti Wagon R LXI,2013,3082,58343,Petrol,Trustmark Dealer,Manual,First Owner,998 CC,5
Maruti Baleno Alpha 1.3,2018,10137,38817,Diesel,Dealer,Manual,First Owner,1248 CC,5
Honda Jazz VX,2016,7534,56494,Petrol,Trustmark Dealer,Manual,First Owner,1199 CC,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,10274,79328,Diesel,Trustmark Dealer,Manual,Second Owner,2494 CC,7
Maruti Swift AMT VVT VXI,2019,8904,5621,Petrol,Trustmark Dealer,Automatic,First Owner,1197 CC,5
Toyota Etios VX,2017,8562,25538,Petrol,Trustmark Dealer,Manual,First Owner,1496 CC,5
Maruti Swift AMT ZXI,2018,8219,69779,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Hyundai Grand i10 1.2 CRDi Sportz,2017,6164,56290,Diesel,Dealer,Manual,First Owner,1186 CC,5
BMW X4 M Sport X xDrive20d,2019,73973,7500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
BMW X4 M Sport X xDrive20d,2019,75342,8500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Honda Amaze V CVT Petrol BSIV,2019,10671,7032,Petrol,Trustmark Dealer,Automatic,First Owner,1199 CC,5
Skoda Rapid 1.6 MPI AT Elegance,2016,8836,11000,Petrol,Dealer,Automatic,First Owner,1598 CC,5
Volvo V40 D3 R-Design,2018,33904,2000,Diesel,Dealer,Automatic,First Owner,1984 CC,5
Ford Fiesta 1.5 TDCi Titanium,2015,8082,80000,Diesel,Individual,Manual,First Owner,1498 CC,5
Hyundai Xcent 1.1 CRDi S,2016,4795,120000,Diesel,Individual,Manual,Second Owner,1120 CC,5
Maruti Ignis 1.2 Zeta BSIV,2017,6644,30000,Petrol,Individual,Manual,First Owner,1197 CC,5
Tata Indica Vista TDI LS,2015,3288,110000,Diesel,Individual,Manual,Second Owner,1405 CC,5
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2008,6849,219000,Diesel,Individual,Manual,Second Owner,2494 CC,8
Maruti Alto 800 LXI,2017,4110,80000,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Ciaz RS ZDi Plus SHVS,2016,10274,80000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Swift Dzire VXI,2016,7863,35000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Tata Indica Vista Quadrajet 90 VX,2013,2740,167000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Creta 1.6 CRDi SX Option,2016,15068,94000,Diesel,Individual,Manual,First Owner,1582 CC,5
Hyundai Santro Xing GL Plus,2012,4795,80000,Petrol,Individual,Manual,First Owner,1086 CC,5
Maruti 800 DX,1998,959,100000,Petrol,Individual,Manual,Second Owner,796 CC,4
Ford Ikon 1.3 Flair,2005,1644,90000,Petrol,Individual,Manual,Second Owner,1299 CC,5
Toyota Innova 2.5 G (Diesel) 7 Seater,2012,9589,246000,Diesel,Individual,Manual,Second Owner,2494 CC,7
Maruti Baleno Sigma 1.2,2019,6849,10000,Petrol,Individual,Manual,First Owner,1197 CC,5
Tata Indigo CS LS (TDI) BS-III,2016,5068,90000,Diesel,Individual,Manual,First Owner,1405 CC,5
Tata Tigor 2017-2020 XZ Plus,2019,8219,5200,Petrol,Individual,Manual,First Owner,1199 CC,5
Maruti Zen LX - BS III,2006,1370,120000,Petrol,Individual,Manual,Second Owner,993 CC,5
Maruti Swift VDI,2013,5616,90000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Honda City i VTEC CVT SV,2016,10274,50000,Petrol,Individual,Automatic,First Owner,1497 CC,5
Hyundai Grand i10 1.2 Kappa Asta,2017,8219,5000,Petrol,Individual,Manual,First Owner,1197 CC,5
Mahindra KUV 100 G80 K8 Dual Tone,2018,7534,10500,Petrol,Individual,Manual,First Owner,1198 CC,6
Renault Duster 110PS Diesel RxZ,2018,13014,26000,Diesel,Individual,Manual,First Owner,1461 CC,5
Mahindra Scorpio VLX 2WD ABS AT BSIII,2014,8836,139000,Diesel,Individual,Automatic,First Owner,2179 CC,8
Mahindra XUV500 W8 2WD,2014,10274,60000,Diesel,Individual,Manual,Second Owner,2179 CC,7
Mercedes-Benz New C-Class C 200 Kompressor Elegance MT,2006,8904,40000,Petrol,Individual,Manual,First Owner,1796 CC,5
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2015,10959,25000,Petrol,Individual,Manual,First Owner,1499 CC,5
Toyota Corolla Altis 1.8 J,2010,4795,60000,Petrol,Individual,Manual,Second Owner,1798 CC,5
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2015,9589,25000,Petrol,Individual,Manual,First Owner,1499 CC,5
Maruti Swift Dzire ZXi,2011,4589,15000,Petrol,Individual,Manual,First Owner,1298 CC,5
Maruti Swift Dzire LDi,2012,3699,110000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Santro GLS I - Euro II,2001,712,70000,Petrol,Individual,Manual,Second Owner,,
Maruti Swift Dzire ZDi,2010,4384,100000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Hyundai Santro Xing XS,2007,1644,120000,Petrol,Individual,Manual,First Owner,1086 CC,5
Audi A4 1.8 TFSI,2010,10000,55000,Petrol,Individual,Automatic,Second Owner,1781 CC,5
Maruti SX4 Vxi BSIII,2007,1712,120000,Petrol,Individual,Manual,Third Owner,1586 CC,5
Maruti Zen Estilo 1.1 LXI BSIII,2007,2055,35000,Petrol,Individual,Manual,First Owner,1061 CC,5
Maruti Alto 800 LXI,2018,4247,13000,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Swift Dzire VDI,2015,8562,50000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai i10 Magna,2012,3658,40000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i20 Active 1.2 SX Dual Tone,2016,8219,25000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Eeco 7 Seater Standard BSIV,2011,2466,110000,Petrol,Individual,Manual,Second Owner,1196 CC,7
Toyota Glanza G Smart Hybrid,2019,9589,5000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti 800 AC,2013,1658,50000,Petrol,Individual,Manual,Second Owner,796 CC,4
Hyundai Grand i10 Asta,2014,4795,80000,Petrol,Individual,Manual,Third Owner,1197 CC,5
Toyota Innova 2.5 G (Diesel) 8 Seater,2012,11918,225000,Diesel,Individual,Manual,Second Owner,2494 CC,8
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,37137,9000,Diesel,Dealer,Automatic,First Owner,1999 CC,5
Lexus ES 300h,2019,70548,20000,Petrol,Dealer,Automatic,First Owner,2487 CC,5
Jaguar XF 2.0 Diesel Portfolio,2017,43836,45000,Diesel,Dealer,Automatic,First Owner,1999 CC,5
Tata Safari Storme EX,2015,6890,110000,Diesel,Individual,Manual,First Owner,2179 CC,7
Volvo XC40 D4 Inscription BSIV,2019,52055,20000,Diesel,Individual,Automatic,First Owner,1969 CC,5
Toyota Camry 2.5 Hybrid,2016,27397,68089,Petrol,Trustmark Dealer,Automatic,First Owner,2494 CC,5
Maruti Wagon R LXI,2013,3082,58343,Petrol,Trustmark Dealer,Manual,First Owner,998 CC,5
Maruti Baleno Alpha 1.3,2018,10137,38817,Diesel,Dealer,Manual,First Owner,1248 CC,5
Honda Jazz VX,2016,7534,56494,Petrol,Trustmark Dealer,Manual,First Owner,1199 CC,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,10274,79328,Diesel,Trustmark Dealer,Manual,Second Owner,2494 CC,7
Maruti Swift AMT VVT VXI,2019,8904,5621,Petrol,Trustmark Dealer,Automatic,First Owner,1197 CC,5
Toyota Etios VX,2017,8562,25538,Petrol,Trustmark Dealer,Manual,First Owner,1496 CC,5
Maruti Swift AMT ZXI,2018,8219,69779,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Hyundai Grand i10 1.2 CRDi Sportz,2017,6164,56290,Diesel,Dealer,Manual,First Owner,1186 CC,5
BMW X4 M Sport X xDrive20d,2019,73973,7500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
BMW X4 M Sport X xDrive20d,2019,75342,8500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Honda Amaze V CVT Petrol BSIV,2019,10671,7032,Petrol,Trustmark Dealer,Automatic,First Owner,1199 CC,5
Skoda Rapid 1.6 MPI AT Elegance,2016,8836,11000,Petrol,Dealer,Automatic,First Owner,1598 CC,5
Volvo V40 D3 R-Design,2018,33904,2000,Diesel,Dealer,Automatic,First Owner,1984 CC,5
Maruti Wagon R LX BSIII,2008,1096,100000,Petrol,Individual,Manual,Third Owner,1061 CC,5
Hyundai i10 Era 1.1,2008,1644,93331,Petrol,Individual,Manual,Second Owner,1086 CC,5
Mahindra Scorpio M2DI,2012,5068,120000,Diesel,Individual,Manual,Second Owner,2179 CC,5
Nissan Terrano XL 110 PS,2015,10274,70000,Diesel,Individual,Manual,First Owner,1461 CC,5
Mahindra Bolero Power Plus Plus Non AC BSIV PS,2015,6644,100000,Diesel,Individual,Manual,First Owner,2523 CC,9
Hyundai Accent CRDi,2006,1644,90000,Diesel,Individual,Manual,Second Owner,1493 CC,5
Honda City i VTEC V,2017,11781,28000,Petrol,Individual,Manual,First Owner,1497 CC,5
Maruti Swift Dzire LDI,2018,8904,50000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Ertiga ZDI,2014,8904,90000,Diesel,Individual,Manual,First Owner,1248 CC,7
Hyundai Verna 1.4 CRDi,2016,9726,40000,Diesel,Individual,Manual,First Owner,1396 CC,5
Ford Figo 1.5D Base MT,2017,5890,113000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Swift Vdi BSIII,2011,4178,188000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Ford Figo Diesel Titanium,2011,3014,100000,Diesel,Individual,Manual,First Owner,1399 CC,5
Tata Sumo MKII Turbo 2.0 LX,2010,2055,225000,Diesel,Individual,Manual,Third Owner,1948 CC,9
Mahindra TUV 300 mHAWK100 T8,2017,9041,67000,Diesel,Individual,Manual,Second Owner,1493 CC,7
Chevrolet Beat Diesel LT Option,2011,1918,70000,Diesel,Individual,Manual,Fourth & Above Owner,936 CC,5
Toyota Corolla Altis JS MT,2015,15068,50000,Petrol,Individual,Manual,First Owner,1798 CC,5
Jaguar XF 2.2 Litre Luxury,2013,33562,60000,Diesel,Individual,Automatic,First Owner,2179 CC,5
Volkswagen Ameo 1.5 TDI Comfortline AT,2017,8562,34000,Diesel,Individual,Automatic,First Owner,1498 CC,5
Honda City 1.5 GXI,2004,2712,110000,Petrol,Individual,Manual,Third Owner,1493 CC,5
Hyundai Santro GS zipPlus,2001,822,71000,Petrol,Individual,Manual,Second Owner,,
Maruti Wagon R LXI,2005,1781,140000,Petrol,Individual,Manual,Second Owner,998 CC,5
Honda City Corporate Edition,2012,7397,100000,Petrol,Individual,Manual,Second Owner,1497 CC,5
Hyundai Grand i10 1.2 Kappa Sportz AT,2017,7534,10000,Petrol,Individual,Automatic,First Owner,1197 CC,5
Maruti Celerio ZXI Optional,2018,6507,30000,Petrol,Individual,Manual,First Owner,998 CC,5
Toyota Fortuner 2.8 4WD AT BSIV,2016,42466,90000,Diesel,Individual,Automatic,First Owner,2755 CC,7
Maruti Ritz VDi,2010,2973,120000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Santro LE,2002,479,184000,Petrol,Individual,Manual,Second Owner,,
Maruti Swift Dzire AMT ZXI Plus,2019,10274,6500,Petrol,Individual,Automatic,First Owner,1197 CC,5
Maruti Gypsy King ST BSIII,2010,4795,80000,Petrol,Individual,Manual,First Owner,1298 CC,8
Mahindra Scorpio VLS 2.2 mHawk,2008,5479,100000,Diesel,Individual,Manual,Third Owner,2179 CC,7
Toyota Etios VD,2015,7808,120000,Diesel,Individual,Manual,Second Owner,1364 CC,5
Hyundai EON Era Plus,2012,2466,120000,Petrol,Individual,Manual,Second Owner,814 CC,5
Opel Astra 1.6,1998,932,110000,Petrol,Individual,Manual,Third Owner,1598 CC,5
Skoda Octavia Classic 1.9 TDI MT,2006,3836,150000,Diesel,Individual,Manual,Third Owner,1896 CC,5
Tata Indigo LS,2005,1233,120000,Diesel,Individual,Manual,Fourth & Above Owner,1405 CC,5
Mercedes-Benz M-Class ML 250 CDI,2015,35616,100000,Diesel,Individual,Automatic,Second Owner,2143 CC,5
Tata Sumo Gold EX,2018,9589,63000,Diesel,Individual,Manual,First Owner,2956 CC,7
Mercedes-Benz GLA Class 200 CDI,2016,25342,40000,Diesel,Individual,Automatic,Second Owner,2143 CC,5
Ford Ecosport 1.5 DV5 MT Titanium,2015,9384,109000,Diesel,Dealer,Manual,First Owner,1498 CC,5
Maruti Swift VDI Windsong Limited edition,2015,7740,114000,Diesel,Dealer,Manual,First Owner,1248 CC,5
Skoda Octavia Elegance 1.8 TSI AT,2017,21918,33000,Petrol,Dealer,Automatic,Second Owner,1798 CC,5
Hyundai Grand i10 CRDi Asta Option,2014,5411,160000,Diesel,Dealer,Manual,Third Owner,1120 CC,5
Hyundai i20 Sportz 1.4 CRDi,2013,5822,101000,Diesel,Dealer,Manual,First Owner,1396 CC,5
Volkswagen Vento 1.5 TDI Highline BSIV,2019,18493,5400,Diesel,Dealer,Manual,Test Drive Car,1498 CC,5
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2016,26712,45000,Diesel,Dealer,Automatic,Second Owner,1995 CC,5
Renault KWID AMT RXL,2018,7329,31000,Petrol,Dealer,Automatic,First Owner,999 CC,5
Renault KWID 1.0 RXT Optional,2018,6849,31000,Petrol,Dealer,Manual,First Owner,999 CC,5
Maruti Wagon R VXI Opt 1.2,2016,5959,55000,Petrol,Dealer,Manual,First Owner,1197 CC,5
Tata Nano XTA,2018,3425,55000,Petrol,Dealer,Automatic,First Owner,624 CC,4
Hyundai Verna 1.6 SX,2014,9589,117000,Diesel,Dealer,Manual,First Owner,1582 CC,5
BMW 3 Series 320d Luxury Line,2010,15068,102000,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Volkswagen Passat 2.0 TDI AT Highline,2012,12329,108000,Diesel,Dealer,Automatic,First Owner,1968 CC,5
Maruti Wagon R VXI 1.2,2015,5822,75000,Petrol,Dealer,Manual,First Owner,1197 CC,5
Mercedes-Benz E-Class E 220 CDI Avantgarde,2011,21918,74000,Diesel,Dealer,Automatic,First Owner,2148 CC,5
Ford Figo Titanium Diesel,2013,4452,158000,Diesel,Dealer,Manual,First Owner,1499 CC,5
Isuzu MUX 2WD,2019,36986,10000,Diesel,Individual,Automatic,First Owner,2999 CC,7
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,13014,40000,Diesel,Individual,Manual,First Owner,1498 CC,5
Tata Nexon 1.5 Revotorq XZA Plus,2019,15616,10000,Diesel,Individual,Automatic,First Owner,1497 CC,5
Tata Hexa XE,2017,13425,53000,Diesel,Individual,Manual,First Owner,2179 CC,7
Jeep Compass 2.0 Limited Option 4X4,2017,26301,20000,Diesel,Individual,Manual,Second Owner,1956 CC,5
Volkswagen Polo 1.0 TSI Highline Plus,2020,11068,5000,Petrol,Individual,Manual,First Owner,999 CC,5
Maruti Swift Dzire VXI,2014,7534,30000,Petrol,Individual,Manual,First Owner,1197 CC,5
Maruti Alto LXi,2010,2945,64000,Petrol,Individual,Manual,First Owner,796 CC,5
Ford Figo 1.2P Titanium Opt MT,2016,7014,10500,Petrol,Individual,Manual,First Owner,1196 CC,5
Maruti Alto LXi,2011,2945,50000,Petrol,Individual,Manual,Second Owner,796 CC,5
Skoda Rapid 1.6 TDI Elegance,2012,6849,60000,Diesel,Individual,Manual,First Owner,1598 CC,5
Skoda Rapid 1.5 TDI Elegance Black Package,2015,9589,35000,Diesel,Individual,Manual,First Owner,1498 CC,5
Tata Safari DICOR 2.2 LX 4x2,2012,7192,135000,Diesel,Individual,Manual,First Owner,2179 CC,7
Mahindra Scorpio LX BSIV,2011,7534,70000,Diesel,Individual,Manual,Second Owner,2179 CC,9
Maruti Vitara Brezza ZDi,2016,10274,80000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Celerio X VXI Option BSIV,2017,5411,25000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai i20 2015-2017 Sportz 1.2,2017,9247,5000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai Santro Xing GLS,2008,1918,80000,Petrol,Individual,Manual,Third Owner,1086 CC,5
Mahindra Scorpio VLX 2WD BSIV,2011,5890,120000,Diesel,Individual,Manual,Second Owner,2179 CC,8
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,37137,9000,Diesel,Dealer,Automatic,First Owner,1999 CC,5
Lexus ES 300h,2019,70548,20000,Petrol,Dealer,Automatic,First Owner,2487 CC,5
Jaguar XF 2.0 Diesel Portfolio,2017,43836,45000,Diesel,Dealer,Automatic,First Owner,1999 CC,5
Tata Safari Storme EX,2015,6890,110000,Diesel,Individual,Manual,First Owner,2179 CC,7
Volvo XC40 D4 Inscription BSIV,2019,52055,20000,Diesel,Individual,Automatic,First Owner,1969 CC,5
Toyota Camry 2.5 Hybrid,2016,27397,68089,Petrol,Trustmark Dealer,Automatic,First Owner,2494 CC,5
Maruti Wagon R LXI,2013,3082,58343,Petrol,Trustmark Dealer,Manual,First Owner,998 CC,5
Maruti Baleno Alpha 1.3,2018,10137,38817,Diesel,Dealer,Manual,First Owner,1248 CC,5
Honda Jazz VX,2016,7534,56494,Petrol,Trustmark Dealer,Manual,First Owner,1199 CC,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,10274,79328,Diesel,Trustmark Dealer,Manual,Second Owner,2494 CC,7
Maruti Swift AMT VVT VXI,2019,8904,5621,Petrol,Trustmark Dealer,Automatic,First Owner,1197 CC,5
Toyota Etios VX,2017,8562,25538,Petrol,Trustmark Dealer,Manual,First Owner,1496 CC,5
Maruti Swift AMT ZXI,2018,8219,69779,Petrol,Dealer,Automatic,First Owner,1197 CC,5
Hyundai Grand i10 1.2 CRDi Sportz,2017,6164,56290,Diesel,Dealer,Manual,First Owner,1186 CC,5
BMW X4 M Sport X xDrive20d,2019,73973,7500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
BMW X4 M Sport X xDrive20d,2019,75342,8500,Diesel,Dealer,Automatic,First Owner,1995 CC,5
Honda Amaze V CVT Petrol BSIV,2019,10671,7032,Petrol,Trustmark Dealer,Automatic,First Owner,1199 CC,5
Skoda Rapid 1.6 MPI AT Elegance,2016,8836,11000,Petrol,Dealer,Automatic,First Owner,1598 CC,5
Volvo V40 D3 R-Design,2018,33904,2000,Diesel,Dealer,Automatic,First Owner,1984 CC,5
Toyota Etios V,2011,3699,167000,Petrol,Individual,Manual,First Owner,,
Toyota Etios V,2011,3699,167000,Petrol,Individual,Manual,First Owner,,
Maruti Wagon R LXI BS IV,2014,4110,10000,Petrol,Individual,Manual,First Owner,998 CC,5
Chevrolet Sail Hatchback Diesel,2013,4863,68000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Alto 800 VXI,2015,2466,35000,Petrol,Individual,Manual,Second Owner,796 CC,5
Tata Indigo eCS VX BSIV,2013,3836,70000,Diesel,Individual,Manual,First Owner,1396 CC,5
Tata Manza ELAN Quadrajet BS III,2011,3425,70000,Diesel,Individual,Manual,First Owner,1248 CC,5
Tata Indica GLS BS IV,2007,1712,50000,Petrol,Individual,Manual,First Owner,1193 CC,5
Maruti Swift VDI BSIV,2006,2055,80000,Diesel,Individual,Manual,First Owner,,
Hyundai Santro Xing XL,2006,1301,60898,Petrol,Individual,Manual,First Owner,,
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,11096,29700,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai i20 1.4 Magna AT,2018,9192,20000,Petrol,Individual,Automatic,First Owner,1368 CC,5
Maruti Alto 800 VXI,2018,4041,20000,Petrol,Individual,Manual,First Owner,796 CC,5
Maruti Ertiga SHVS ZDI Plus,2017,11644,40000,Diesel,Individual,Manual,First Owner,1248 CC,7
Maruti Swift ZDi,2013,5616,90000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Ertiga VXI,2015,8219,90000,Petrol,Individual,Manual,First Owner,1373 CC,7
Mahindra Bolero 2011-2019 ZLX,2015,8219,80000,Diesel,Individual,Manual,First Owner,2523 CC,7
Maruti Wagon R LXI BSIII,2012,3014,60000,Petrol,Individual,Manual,Third Owner,998 CC,5
Maruti Swift Dzire VDI,2013,7534,56000,Diesel,Individual,Manual,First Owner,1248 CC,5
Mahindra Scorpio EX,2014,8904,50000,Diesel,Individual,Manual,First Owner,2523 CC,8
Mahindra Scorpio 2009-2014 EX 2WD 9S,2014,8973,50000,Diesel,Individual,Manual,Second Owner,2523 CC,9
Tata Sumo GX 7 Str BSII,2006,1781,74000,Diesel,Individual,Manual,First Owner,1948 CC,7
Renault Duster 110PS Diesel RxL,2014,5479,123000,Diesel,Individual,Manual,First Owner,1461 CC,5
Maruti Swift 1.3 LXI,2007,3425,60000,Petrol,Individual,Manual,Third Owner,,
Maruti Alto LXi,2009,2123,54000,Petrol,Individual,Manual,First Owner,796 CC,5
Tata Indigo CS eGLS BS IV,2013,3425,50000,Petrol,Individual,Manual,First Owner,1193 CC,5
Hyundai Grand i10 Sportz,2014,5479,80000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Datsun GO A Option Petrol,2019,6849,10000,Petrol,Individual,Manual,First Owner,1198 CC,5
Hyundai Santro Sportz AMT BSIV,2018,7740,10000,Petrol,Individual,Automatic,First Owner,1086 CC,5
Ford EcoSport 1.5 Diesel Titanium BSIV,2018,12329,40000,Diesel,Individual,Manual,First Owner,1498 CC,5
Mahindra Bolero Power Plus SLE,2017,8904,120000,Diesel,Individual,Manual,First Owner,1493 CC,7
Mahindra Bolero 2011-2019 ZLX,2013,8219,45000,Diesel,Individual,Manual,First Owner,2523 CC,7
Maruti Swift Dzire VDI,2018,10959,35000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai i20 Sportz 1.4 CRDi,2015,7877,60000,Diesel,Individual,Manual,First Owner,1396 CC,5
Ford Figo 1.5P Titanium AT,2016,7534,40000,Petrol,Individual,Automatic,First Owner,1499 CC,5
Maruti SX4 Vxi BSIV,2011,2603,80000,Petrol,Individual,Manual,Third Owner,1586 CC,5
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2017,10274,37000,Diesel,Individual,Manual,First Owner,1498 CC,5
Maruti Baleno Delta 1.2,2018,8562,22000,Petrol,Individual,Manual,First Owner,1197 CC,5
Hyundai i20 1.4 Asta,2018,10945,60000,Diesel,Individual,Manual,Second Owner,1396 CC,5
Maruti Wagon R VXI BS IV,2013,4110,57000,Petrol,Individual,Manual,Second Owner,998 CC,5
Maruti Ciaz 1.4 Alpha,2017,11644,27000,Petrol,Individual,Manual,First Owner,1373 CC,5
Chevrolet Spark 1.0 LT,2012,1781,70000,Petrol,Individual,Manual,First Owner,995 CC,5
Maruti Alto K10 2010-2014 VXI,2011,3151,40000,Petrol,Individual,Manual,Second Owner,998 CC,5
Maruti Celerio ZXI,2015,5479,60000,Petrol,Individual,Manual,First Owner,998 CC,5
Mahindra Thar CRDe,2018,12329,35000,Diesel,Individual,Manual,First Owner,2498 CC,6
Mahindra Scorpio 1.99 S4,2015,10959,70000,Diesel,Individual,Manual,First Owner,1997 CC,7
Hyundai EON Era Plus,2015,3438,43000,Petrol,Individual,Manual,Second Owner,814 CC,5
Tata Manza Aqua Safire,2011,3425,110000,Petrol,Individual,Manual,Second Owner,1368 CC,5
Fiat Punto 1.2 Active,2009,1370,100000,Petrol,Individual,Manual,Second Owner,1172 CC,5
Maruti Swift VXI Optional,2016,6164,64000,Petrol,Individual,Manual,First Owner,1197 CC,5
Renault Duster 85PS Diesel STD,2017,7877,96000,Diesel,Individual,Manual,First Owner,1461 CC,5
Renault Duster 85PS Diesel RxL Optional,2013,5479,96000,Diesel,Individual,Manual,First Owner,1461 CC,5
Maruti Celerio X ZXI BSIV,2019,6575,7600,Petrol,Individual,Manual,First Owner,998 CC,5
Maruti Celerio X ZXI BSIV,2019,6712,7000,Petrol,Individual,Manual,First Owner,998 CC,5
Tata Indigo LX,2007,2055,120000,Diesel,Individual,Manual,Second Owner,1405 CC,5
Tata Bolt Quadrajet XM,2017,8219,50000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Xcent 1.1 CRDi SX Option,2015,6849,50000,Diesel,Individual,Manual,Second Owner,1120 CC,5
Tata Zest Quadrajet 1.3 Anniversary Edition,2015,5822,80000,Diesel,Individual,Manual,First Owner,1248 CC,5
Hyundai Accent DLS,2003,1479,200000,Diesel,Individual,Manual,Second Owner,1493 CC,5
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,2015,14110,190000,Diesel,Individual,Manual,First Owner,2494 CC,7
Maruti Wagon R VXI Optional,2015,4932,34000,Petrol,Individual,Manual,First Owner,998 CC,5
Volkswagen Polo Petrol Comfortline 1.2L,2012,3973,80000,Petrol,Individual,Manual,Second Owner,1198 CC,5
Maruti Swift VDI,2011,5479,72000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Esteem DI,2003,959,20000,Diesel,Individual,Manual,First Owner,1527 CC,5
Tata Sumo CX,2012,4384,70000,Diesel,Individual,Manual,Second Owner,2956 CC,7
Ford EcoSport 1.5 Diesel Titanium BSIV,2019,13356,30000,Diesel,Individual,Manual,First Owner,1498 CC,5
Honda City i-VTEC CVT ZX,2019,16808,5000,Petrol,Individual,Automatic,First Owner,1497 CC,5
Hyundai Verna 1.6 SX CRDi (O),2014,10342,29340,Diesel,Individual,Manual,First Owner,1582 CC,5
Ford Figo Diesel LXI,2011,2945,120000,Diesel,Individual,Manual,First Owner,1399 CC,5
Toyota Innova 2.5 G4 Diesel 7-seater,2011,10068,200000,Diesel,Individual,Manual,Second Owner,2494 CC,7
Hyundai i10 Era,2007,2603,70000,Petrol,Individual,Manual,Second Owner,1086 CC,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,18699,80800,Diesel,Individual,Manual,Second Owner,2494 CC,8
Honda Jazz 1.2 VX i VTEC,2018,9247,24265,Petrol,Dealer,Manual,First Owner,1199 CC,5
Maruti Swift Dzire VDI,2014,6014,81000,Diesel,Dealer,Manual,First Owner,1248 CC,5
Renault Lodgy Stepway 110PS RXZ 7S,2015,7534,240000,Diesel,Individual,Manual,First Owner,1461 CC,7
Maruti Swift Dzire VXI,2013,5616,35000,Petrol,Individual,Manual,First Owner,1197 CC,5
Renault KWID RXT Optional,2019,4795,15000,Petrol,Individual,Manual,First Owner,799 CC,5
Chevrolet Beat Diesel,2012,1849,49000,Diesel,Individual,Manual,Third Owner,936 CC,5
Toyota Innova Crysta 2.4 GX MT 8S BSIV,2016,20411,56900,Diesel,Individual,Manual,Second Owner,2393 CC,8
Maruti Swift VDI BSIV,2014,7123,70000,Diesel,Individual,Manual,Second Owner,1248 CC,5
Maruti Swift Dzire VDi,2010,4315,180000,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti A-Star Lxi,2010,3219,50000,Petrol,Individual,Manual,First Owner,998 CC,5
Hyundai Accent GLE,2005,1103,50000,Petrol,Individual,Manual,Third Owner,1495 CC,5
Maruti Ritz VDi,2013,5137,88200,Diesel,Individual,Manual,First Owner,1248 CC,5
Maruti Swift VXi BSIV,2006,2589,93000,Petrol,Individual,Manual,Second Owner,1197 CC,5
Honda Amaze E Option i-DTEC,2017,7534,120000,Diesel,Individual,Manual,First Owner,1498 CC,5
Ford Fiesta EXi 1.4 TDCi Ltd,2011,3562,110000,Diesel,Individual,Manual,Second Owner,1399 CC,5
